case_id,species,chamber,throat,exit
case_0003,HO2,0.0005428,0.0003595,4.022e-06
case_0003,O,0.008496,0.006935,0.0004077
case_0003,O2,0.068547,0.063177,0.012198
case_0003,O3,2.027e-06,9.957e-07,5.98e-10
case_0003,OH,0.05859,0.050866,0.007792
case_0004,CO,0.15568,0.143131,0.035181
case_0004,CO2,0.310906,0.330667,0.500333
case_0004,COOH,5.997e-05,3.464e-05,8.922e-08
case_0004,H,0.0005976,0.0005068,4.398e-05
case_0004,H2,0.003927,0.003571,0.0009823
case_0004,H2O,0.382348,0.390527,0.442213
case_0004,H2O2,0.0001018,6.356e-05,3.54e-07
case_0004,"HCHO,formaldehy",6.631e-07,3.218e-07,1.6e-10
case_0004,HCO,1.926e-05,1.002e-05,6.738e-09
case_0004,HCOOH,1.019e-05,5.537e-06,1.149e-08
case_0004,HO2,0.0005438,0.0003633,2.831e-06
case_0004,O,0.009211,0.007567,0.00034
case_0004,O2,0.076423,0.071127,0.014311
case_0004,O3,2.1e-06,1.05e-06,3.87e-10
case_0004,OH,0.06017,0.052425,0.006593
case_0005,CO,0.196803,0.18504,0.103238
case_0005,CO2,0.289772,0.308312,0.436912
case_0005,COOH,7.042e-05,4.079e-05,6.022e-08
case_0005,H,0.0007103,0.000603,2.603e-05
case_0005,H2,0.005639,0.005246,0.003889
case_0005,H2O,0.405452,0.414203,0.455121
case_0005,H2O2,8.278e-05,4.965e-05,1.378e-08
case_0005,"HCHO,formaldehy",1.284e-06,6.508e-07,1.886e-09
case_0005,HCO,3.06e-05,1.633e-05,1.76e-08
case_0005,HCOOH,1.457e-05,8.083e-06,3.593e-08
case_0005,HO2,0.0003631,0.0002288,2.503e-08
case_0005,O,0.006728,0.005278,5.927e-06
case_0005,O2,0.041211,0.035807,6.629e-05
case_0005,O3,8.758e-07,3.909e-07,5.49e-14
case_0005,OH,0.053122,0.045166,0.000742
case_0006,CO,0.155562,0.143065,0.040946
case_0006,CO2,0.314361,0.334051,0.494567
case_0006,COOH,7.353e-05,4.238e-05,1.543e-07
case_0006,H,0.0005614,0.0004754,4.881e-05
case_0006,H2,0.0039,0.003548,0.001123
case_0006,H2O,0.386432,0.394506,0.44343
case_0006,H2O2,0.0001184,7.358e-05,4.996e-07
case_0006,"HCHO,formaldehy",8.667e-07,4.206e-07,3.59e-10
case_0006,HCO,2.315e-05,1.203e-05,1.326e-08
case_0006,HCOOH,1.357e-05,7.361e-06,2.245e-08
case_0006,HO2,0.0005819,0.0003865,3.498e-06
case_0006,O,0.008463,0.00692,0.0003435
case_0006,O2,0.071338,0.066021,0.012612
case_0006,O3,2.318e-06,1.145e-06,5.07e-10
case_0006,OH,0.058568,0.05089,0.006924
case_0007,CO,0.208401,0.197151,0.120399
case_0007,CO2,0.283953,0.301698,0.422377
case_0007,COOH,7.976e-05,4.598e-05,2.1e-08
case_0007,H,0.0007092,0.0005996,8.717e-06
case_0007,H2,0.006188,0.005802,0.005473
case_0007,H2O,0.412644,0.421389,0.451617
case_0007,H2O2,8.172e-05,4.795e-05,1.077e-09
case_0007,"HCHO,formaldehy",1.74e-06,8.93e-07,2.522e-09
case_0007,HCO,3.735e-05,2.001e-05,8.711e-09
case_0007,HCOOH,1.832e-05,1.021e-05,3.508e-08
case_0007,HO2,0.0003228,0.0001972,7.46e-10
case_0007,O,0.0057,0.004358,2.415e-07
case_0007,O2,0.032354,0.02718,1.951e-06
case_0007,O3,6.736e-07,2.835e-07,1.01e-16
case_0007,OH,0.049507,0.0415,0.0001221
case_0008,CO,0.22409,0.213396,0.138377
case_0008,CO2,0.272595,0.289462,0.407415
case_0008,COOH,7.211e-05,4.143e-05,9.854e-09
case_0008,H,0.0007683,0.000647,4.595e-06
case_0008,H2,0.007033,0.006648,0.007222
case_0008,H2O,0.416802,0.425702,0.446944
case_0008,H2O2,6.66e-05,3.826e-05,1.85e-10
case_0008,"HCHO,formaldehy",1.819e-06,9.473e-07,2.943e-09
case_0008,HCO,3.806e-05,2.049e-05,5.433e-09
case_0008,HCOOH,1.702e-05,9.538e-06,3.163e-08
case_0008,HO2,0.0002563,0.0001519,7e-11
case_0008,O,0.005166,0.003848,3.071e-08
case_0008,O2,0.026098,0.021192,1.889e-07
case_0008,O3,4.291e-07,1.707e-07,1.47e-18
case_0008,OH,0.046996,0.038842,3.785e-05
case_0009,CO,0.234679,0.224511,0.155378
case_0009,CO2,0.265641,0.281686,0.390393
case_0009,COOH,7.297e-05,4.168e-05,1.383e-08
case_0009,H,0.0007808,0.0006537,5.274e-06
case_0009,H2,0.007638,0.007267,0.008219
case_0009,H2O,0.420698,0.429551,0.445964
case_0009,H2O2,6.089e-05,3.421e-05,2.3e-10
case_0009,"HCHO,formaldehy",2.105e-06,1.107e-06,5.011e-09
case_0009,HCO,4.146e-05,2.234e-05,8.708e-09
case_0009,HCOOH,1.83e-05,1.029e-05,4.687e-08
case_0009,HO2,0.0002206,0.0001267,8.13e-11
case_0009,O,0.004551,0.0033,3.283e-08
case_0009,O2,0.021374,0.016785,1.764e-07
case_0009,O3,3.166e-07,1.188e-07,1.76e-18
case_0009,OH,0.044222,0.03601,4.037e-05
case_0010,CO,0.190771,0.17898,0.093818
case_0010,CO2,0.29608,0.314676,0.448571
case_0010,COOH,8.568e-05,4.948e-05,2.651e-08
case_0010,H,0.0006477,0.0005489,1.128e-05
case_0010,H2,0.005334,0.004953,0.003825
case_0010,H2O,0.406583,0.415108,0.453508
case_0010,H2O2,9.955e-05,5.966e-05,3.142e-09
case_0010,"HCHO,formaldehy",1.568e-06,7.912e-07,1.378e-09
case_0010,HCO,3.504e-05,1.862e-05,7.656e-09
case_0010,HCOOH,1.889e-05,1.044e-05,2.721e-08
case_0010,HO2,0.0004094,0.0002579,3.464e-09
case_0010,O,0.006369,0.004995,9.226e-07
case_0010,O2,0.041284,0.035911,1.062e-05
case_0010,O3,1.082e-06,4.82e-07,1.72e-15
case_0010,OH,0.05228,0.044431,0.0002551
case_0011,CO,0.184725,0.172581,0.076007
case_0011,CO2,0.295695,0.314826,0.466628
case_0011,COOH,6.366e-05,3.695e-05,2.526e-08
case_0011,H,0.0006958,0.0005918,1.781e-05
case_0011,H2,0.005101,0.004711,0.002853
case_0011,H2O,0.398068,0.406729,0.453825
case_0011,H2O2,8.497e-05,5.185e-05,7.616e-09
case_0011,"HCHO,formaldehy",9.798e-07,4.906e-07,5.21e-10
case_0011,HCO,2.551e-05,1.354e-05,5.438e-09
case_0011,HCOOH,1.207e-05,6.661e-06,1.367e-08
case_0011,HO2,0.000407,0.0002627,1.565e-08
case_0011,O,0.007706,0.006167,4.508e-06
case_0011,O2,0.051252,0.045755,6.92e-05
case_0011,O3,1.129e-06,5.282e-07,2.89e-14
case_0011,OH,0.05616,0.048265,0.0005955
case_0012,CO,0.210797,0.199719,0.121959
case_0012,CO2,0.283202,0.300682,0.422951
case_0012,COOH,8.563e-05,4.925e-05,1.108e-08
case_0012,H,0.0006962,0.0005874,4.562e-06
case_0012,H2,0.006301,0.00592,0.006054
case_0012,H2O,0.414911,0.423595,0.448983
case_0012,H2O2,8.388e-05,4.884e-05,2.79e-10
case_0012,"HCHO,formaldehy",1.976e-06,1.017e-06,2.438e-09
case_0012,HCO,4.058e-05,2.174e-05,5.101e-09
case_0012,HCOOH,2.055e-05,1.145e-05,3.124e-08
case_0012,HO2,0.0003171,0.0001917,1.19e-10
case_0012,O,0.005349,0.004053,4.474e-08
case_0012,O2,0.029971,0.024897,3.291e-07
case_0012,O3,6.418e-07,2.646e-07,3.91e-18
case_0012,OH,0.048222,0.040222,4.674e-05
case_0013,CO,0.16927,0.156941,0.054807
case_0013,CO2,0.307734,0.327165,0.487713
case_0013,COOH,7.838e-05,4.528e-05,6.097e-08
case_0013,H,0.0005994,0.0005085,2.757e-05
case_0013,H2,0.004424,0.004056,0.001754
case_0013,H2O,0.394744,0.403025,0.452847
case_0013,H2O2,0.0001113,6.841e-05,5.945e-08
case_0013,"HCHO,formaldehy",1.095e-06,5.396e-07,4.22e-10
case_0013,HCO,2.739e-05,1.438e-05,8.064e-09
case_0013,HCOOH,1.544e-05,8.44e-06,1.759e-08
case_0013,HO2,0.0005126,0.0003348,2.192e-07
case_0013,O,0.007682,0.006202,3.588e-05
case_0013,O2,0.058298,0.052861,0.0008788
case_0013,O3,1.753e-06,8.373e-07,3.4e-12
case_0013,OH,0.0565,0.048768,0.001936
case_0014,CO,0.199986,0.188345,0.11183
case_0014,CO2,0.288142,0.306493,0.426788
case_0014,COOH,7.238e-05,4.189e-05,1.103e-07
case_0014,H,0.0007126,0.0006044,3.746e-05
case_0014,H2,0.005787,0.005394,0.004068
case_0014,H2O,0.407344,0.416107,0.455955
case_0014,H2O2,8.217e-05,4.903e-05,3.083e-08
case_0014,"HCHO,formaldehy",1.381e-06,7.027e-07,3.112e-09
case_0014,HCO,3.213e-05,1.717e-05,3.36e-08
case_0014,HCOOH,1.536e-05,8.528e-06,5.616e-08
case_0014,HO2,0.0003516,0.0002199,6.414e-08
case_0014,O,0.006466,0.005042,1.27e-05
case_0014,O2,0.038768,0.033411,0.0001348
case_0014,O3,8.157e-07,3.59e-07,2.73e-13
case_0014,OH,0.052238,0.044266,0.001174
case_0015,CO,0.229111,0.218838,0.148335
case_0015,CO2,0.270632,0.28685,0.397721
case_0015,COOH,8.318e-05,4.749e-05,1.238e-08
case_0015,H,0.0007351,0.0006156,4.224e-06
case_0015,H2,0.007296,0.00693,0.00787
case_0015,H2O,0.421101,0.429813,0.446038
case_0015,H2O2,6.971e-05,3.928e-05,1.82e-10
case_0015,"HCHO,formaldehy",2.367e-06,1.24e-06,4.855e-09
case_0015,HCO,4.503e-05,2.422e-05,7.453e-09
case_0015,HCOOH,2.158e-05,1.21e-05,4.771e-08
case_0015,HO2,0.000244,0.0001408,5.72e-11
case_0015,O,0.004475,0.003258,2.205e-08
case_0015,O2,0.021996,0.017371,1.242e-07
case_0015,O3,3.799e-07,1.437e-07,9.58e-19
case_0015,OH,0.044188,0.036059,3.226e-05
case_0016,CO,0.173836,0.161545,0.060861
case_0016,CO2,0.303977,0.323345,0.48161
case_0016,COOH,7.281e-05,4.214e-05,4.996e-08
case_0016,H,0.0006297,0.0005348,2.604e-05
case_0016,H2,0.004619,0.004244,0.002024
case_0016,H2O,0.39551,0.403912,0.453468
case_0016,H2O2,0.0001019,6.251e-05,3.656e-08
case_0016,"HCHO,formaldehy",1.042e-06,5.162e-07,4.55e-10
case_0016,HCO,2.654e-05,1.398e-05,7.622e-09
case_0016,HCOOH,1.41e-05,7.731e-06,1.65e-08
case_0016,HO2,0.0004774,0.0003109,1.189e-07
case_0016,O,0.007744,0.00624,2.289e-05
case_0016,O2,0.056436,0.050972,0.0004882
case_0016,O3,1.533e-06,7.286e-07,1.12e-12
case_0016,OH,0.056553,0.048769,0.0015
case_0017,CO,0.202717,0.191158,0.109064
case_0017,CO2,0.286294,0.304515,0.433577
case_0017,COOH,7.158e-05,4.141e-05,1.943e-08
case_0017,H,0.0007227,0.0006128,1.023e-05
case_0017,H2,0.005921,0.005527,0.004776
case_0017,H2O,0.408288,0.417088,0.452399
case_0017,H2O2,7.972e-05,4.742e-05,1.47e-09
case_0017,"HCHO,formaldehy",1.403e-06,7.157e-07,1.564e-09
case_0017,HCO,3.244e-05,1.735e-05,7.022e-09
case_0017,HCOOH,1.528e-05,8.496e-06,2.491e-08
case_0017,HO2,0.000339,0.0002111,1.319e-09
case_0017,O,0.006358,0.004939,4.486e-07
case_0017,O2,0.037351,0.032022,4.151e-06
case_0017,O3,7.586e-07,3.31e-07,2.99e-16
case_0017,OH,0.051809,0.043812,0.0001692
case_0018,CO,0.244334,0.234581,0.155136
case_0018,CO2,0.258536,0.273927,0.398835
case_0018,COOH,6.831e-05,3.884e-05,2.381e-09
case_0018,H,0.0008113,0.000676,1.143e-06
case_0018,H2,0.008235,0.007876,0.010086
case_0018,H2O,0.422668,0.431527,0.435938
case_0018,H2O2,5.326e-05,2.941e-05,7.79e-12
case_0018,"HCHO,formaldehy",2.164e-06,1.147e-06,3.265e-09
case_0018,HCO,4.171e-05,2.249e-05,1.856e-09
case_0018,HCOOH,1.752e-05,9.877e-06,2.624e-08
case_0018,HO2,0.0001888,0.0001058,9.45e-13
case_0018,O,0.00421,0.002988,6.25e-10
case_0018,O2,0.01844,0.014103,2.768e-09
case_0018,O3,2.343e-07,8.408e-08,0.0
case_0018,OH,0.042394,0.034115,4.115e-06
case_0019,CO,0.228985,0.21859,0.153232
case_0019,CO2,0.269878,0.286282,0.38906
case_0019,COOH,7.62e-05,4.361e-05,3.377e-08
case_0019,H,0.0007603,0.000638,1.088e-05
case_0019,H2,0.007301,0.006926,0.007295
case_0019,H2O,0.419517,0.428343,0.450278
case_0019,H2O2,6.601e-05,3.742e-05,1.246e-09
case_0019,"HCHO,formaldehy",2.087e-06,1.092e-06,6.32e-09
case_0019,HCO,4.147e-05,2.233e-05,1.873e-08
case_0019,HCOOH,1.893e-05,1.062e-05,6.525e-08
case_0019,HO2,0.0002413,0.0001404,7.36e-10
case_0019,O,0.004735,0.003472,2.255e-07
case_0019,O2,0.023184,0.018465,1.356e-06
case_0019,O3,3.767e-07,1.448e-07,8.54e-17
case_0019,OH,0.045193,0.037029,0.0001227
case_0020,CO,0.204897,0.193369,0.117869
case_0020,CO2,0.284278,0.302448,0.421145
case_0020,COOH,6.785e-05,3.928e-05,8.234e-08
case_0020,H,0.000742,0.0006294,3.197e-05
case_0020,H2,0.006035,0.005639,0.004491
case_0020,H2O,0.408196,0.417061,0.455549
case_0020,H2O2,7.547e-05,4.487e-05,1.726e-08
case_0020,"HCHO,formaldehy",1.336e-06,6.829e-07,3.013e-09
case_0020,HCO,3.137e-05,1.68e-05,2.774e-08
case_0020,HCOOH,1.427e-05,7.944e-06,4.95e-08
case_0020,HO2,0.0003259,0.0002027,3.081e-08
case_0020,O,0.00642,0.004983,7.079e-06
case_0020,O2,0.037009,0.031681,6.834e-05
case_0020,O3,7.062e-07,3.077e-07,7.37e-14
case_0020,OH,0.051906,0.043878,0.0008388
case_0021,CO,0.151008,0.138449,0.028762
case_0021,CO2,0.313675,0.333451,0.505848
case_0021,COOH,6.124e-05,3.531e-05,7.227e-08
case_0021,H,0.0005746,0.0004867,3.641e-05
case_0021,H2,0.003752,0.003403,0.0008008
case_0021,H2O,0.380256,0.388334,0.440225
case_0021,H2O2,0.0001071,6.703e-05,3.579e-07
case_0021,"HCHO,formaldehy",6.486e-07,3.131e-07,1.01e-10
case_0021,HCO,1.889e-05,9.785e-06,4.472e-09
case_0021,HCOOH,1.038e-05,5.621e-06,8.845e-09
case_0021,HO2,0.0005739,0.0003846,3.025e-06
case_0021,O,0.009298,0.007656,0.00034
case_0021,O2,0.080289,0.075062,0.017514
case_0021,O3,2.343e-06,1.179e-06,4.71e-10
case_0021,OH,0.060372,0.052653,0.00647
case_0022,CO,0.219583,0.208659,0.133823
case_0022,CO2,0.275273,0.292499,0.41016
case_0022,COOH,7.019e-05,4.044e-05,1.489e-08
case_0022,H,0.0007674,0.0006477,7.066e-06
case_0022,H2,0.00679,0.0064,0.00654
case_0022,H2O,0.41465,0.423574,0.449396
case_0022,H2O2,6.81e-05,3.951e-05,4.77e-10
case_0022,"HCHO,formaldehy",1.66e-06,8.607e-07,2.788e-09
case_0022,HCO,3.596e-05,1.934e-05,7.406e-09
case_0022,HCOOH,1.601e-05,8.958e-06,3.27e-08
case_0022,HO2,0.0002713,0.000163,2.56e-10
case_0022,O,0.005499,0.004144,1.008e-07
case_0022,O2,0.028624,0.023586,6.828e-07
case_0022,O3,4.835e-07,1.973e-07,1.48e-17
case_0022,OH,0.04835,0.040219,7.429e-05
case_0023,CO,0.157827,0.145336,0.041283
case_0023,CO2,0.312699,0.332377,0.495931
case_0023,COOH,7.163e-05,4.132e-05,1.269e-07
case_0023,H,0.0005746,0.0004869,4.589e-05
case_0023,H2,0.003988,0.003632,0.001154
case_0023,H2O,0.387086,0.395216,0.445169
case_0023,H2O2,0.0001141,7.087e-05,3.795e-07
case_0023,"HCHO,formaldehy",8.577e-07,4.173e-07,3.13e-10
case_0023,HCO,2.303e-05,1.199e-05,1.117e-08
case_0023,HCOOH,1.315e-05,7.146e-06,1.919e-08
case_0023,HO2,0.0005637,0.0003739,2.571e-06
case_0023,O,0.008474,0.006923,0.0002786
case_0023,O2,0.069993,0.064651,0.010029
case_0023,O3,2.18e-06,1.074e-06,2.96e-10
case_0023,OH,0.05857,0.050872,0.006106
case_0024,CO,0.214715,0.203784,0.127411
case_0024,CO2,0.280433,0.297681,0.417772
case_0024,COOH,8.425e-05,4.841e-05,1.091e-08
case_0024,H,0.0007082,0.0005969,4.413e-06
case_0024,H2,0.006506,0.006126,0.006437
case_0024,H2O,0.416123,0.424838,0.448333
case_0024,H2O2,8.016e-05,4.64e-05,2.39e-10
case_0024,"HCHO,formaldehy",2.023e-06,1.045e-06,2.76e-09
case_0024,HCO,4.112e-05,2.206e-05,5.346e-09
case_0024,HCOOH,2.044e-05,1.141e-05,3.328e-08
case_0024,HO2,0.0002998,0.0001798,9.47e-11
case_0024,O,0.005195,0.003908,3.649e-08
case_0024,O2,0.028277,0.023275,2.523e-07
case_0024,O3,5.745e-07,2.333e-07,2.56e-18
case_0024,OH,0.047515,0.039481,4.184e-05
case_0025,CO,0.177929,0.165785,0.070859
case_0025,CO2,0.303408,0.322554,0.471783
case_0025,COOH,8.245e-05,4.764e-05,3.652e-08
case_0025,H,0.0006179,0.0005242,1.706e-05
case_0025,H2,0.004775,0.0044,0.00256
case_0025,H2O,0.399952,0.408336,0.454006
case_0025,H2O2,0.0001077,6.555e-05,1.239e-08
case_0025,"HCHO,formaldehy",1.289e-06,6.415e-07,6.83e-10
case_0025,HCO,3.069e-05,1.62e-05,7.051e-09
case_0025,HCOOH,1.706e-05,9.37e-06,1.986e-08
case_0025,HO2,0.0004718,0.000304,2.506e-08
case_0025,O,0.007116,0.005684,5.431e-06
case_0025,O2,0.050679,0.045232,9.256e-05
case_0025,O3,1.46e-06,6.793e-07,6.55e-14
case_0025,OH,0.05481,0.047041,0.0006767
case_0026,CO,0.164292,0.151889,0.047506
case_0026,CO2,0.310308,0.329854,0.493934
case_0026,COOH,7.707e-05,4.449e-05,8.636e-08
case_0026,H,0.0005851,0.0004961,3.524e-05
case_0026,H2,0.004228,0.003866,0.001422
case_0026,H2O,0.39191,0.400116,0.450668
case_0026,H2O2,0.0001144,7.06e-05,1.472e-07
case_0026,"HCHO,formaldehy",1.014e-06,4.97e-07,3.56e-10
case_0026,HCO,2.593e-05,1.356e-05,9.283e-09
case_0026,HCOOH,1.485e-05,8.097e-06,1.809e-08
case_0026,HO2,0.0005384,0.0003539,7.338e-07
case_0026,O,0.007952,0.006452,9.824e-05
case_0026,O2,0.06269,0.057282,0.00293
case_0026,O3,1.949e-06,9.428e-07,3.04e-11
case_0026,OH,0.057261,0.049553,0.003407
case_0027,CO,0.248833,0.239262,0.178708
case_0027,CO2,0.255129,0.270232,0.365455
case_0027,COOH,6.538e-05,3.71e-05,2.983e-08
case_0027,H,0.0008288,0.0006891,9.857e-06
case_0027,H2,0.008528,0.008173,0.009223
case_0027,H2O,0.423296,0.432163,0.446521
case_0027,H2O2,4.96e-05,2.718e-05,6.81e-10
case_0027,"HCHO,formaldehy",2.152e-06,1.145e-06,9.257e-09
case_0027,HCO,4.131e-05,2.228e-05,2.109e-08
case_0027,HCOOH,1.685e-05,9.512e-06,7.544e-08
case_0027,HO2,0.000175,9.702e-05,3.11e-10
case_0027,O,0.004083,0.00287,1.089e-07
case_0027,O2,0.017306,0.013081,5.157e-07
case_0027,O3,2.027e-07,7.131e-08,1.73e-17
case_0027,OH,0.041646,0.033336,8.219e-05
case_0028,CO,0.16238,0.14994,0.042942
case_0028,CO2,0.310755,0.330356,0.498541
case_0028,COOH,7.413e-05,4.28e-05,7.58e-08
case_0028,H,0.0005854,0.0004964,3.393e-05
case_0028,H2,0.004158,0.003797,0.001276
case_0028,H2O,0.390143,0.398338,0.449773
case_0028,H2O2,0.0001129,6.985e-05,1.535e-07
case_0028,"HCHO,formaldehy",9.429e-07,4.611e-07,2.59e-10
case_0028,HCO,2.465e-05,1.288e-05,7.33e-09
case_0028,HCOOH,1.398e-05,7.614e-06,1.463e-08
case_0028,HO2,0.0005432,0.0003582,8.319e-07
case_0028,O,0.008171,0.006647,0.0001118
case_0028,O2,0.065222,0.05983,0.00371
case_0028,O3,2.001e-06,9.747e-07,4e-11
case_0028,OH,0.057813,0.050102,0.00361
case_0029,CO,0.187505,0.175543,0.085178
case_0029,CO2,0.296678,0.315534,0.457594
case_0029,COOH,7.712e-05,4.462e-05,2.242e-08
case_0029,H,0.0006619,0.0005617,1.198e-05
case_0029,H2,0.0052,0.004815,0.003407
case_0029,H2O,0.403073,0.41164,0.453488
case_0029,H2O2,9.51e-05,5.746e-05,3.493e-09
case_0029,"HCHO,formaldehy",1.309e-06,6.579e-07,8.69e-10
case_0029,HCO,3.105e-05,1.648e-05,5.768e-09
case_0029,HCOOH,1.604e-05,8.851e-06,1.926e-08
case_0029,HO2,0.000415,0.0002643,4.602e-09
case_0029,O,0.00689,0.005454,1.31e-06
case_0029,O2,0.045453,0.040015,1.694e-05
case_0029,O3,1.134e-06,5.164e-07,3.05e-15
case_0029,OH,0.053904,0.046045,0.0003037
case_0030,CO,0.183584,0.171511,0.081895
case_0030,CO2,0.29876,0.317789,0.458669
case_0030,COOH,7.552e-05,4.371e-05,8.086e-08
case_0030,H,0.0006544,0.0005556,3.227e-05
case_0030,H2,0.005029,0.004646,0.002792
case_0030,H2O,0.400865,0.409393,0.454853
case_0030,H2O2,9.674e-05,5.874e-05,3.89e-08
case_0030,"HCHO,formaldehy",1.218e-06,6.097e-07,1.216e-09
case_0030,HCO,2.957e-05,1.567e-05,1.695e-08
case_0030,HCOOH,1.534e-05,8.454e-06,3.194e-08
case_0030,HO2,0.000432,0.0002772,1.047e-07
case_0030,O,0.007156,0.005697,1.957e-05
case_0030,O2,0.048543,0.043083,0.0003022
case_0030,O3,1.237e-06,5.712e-07,7.63e-13
case_0030,OH,0.054758,0.046921,0.001437
case_0031,CO,0.241661,0.231983,0.167014
case_0031,CO2,0.261638,0.276922,0.379097
case_0031,COOH,7.964e-05,4.514e-05,1.741e-08
case_0031,H,0.000761,0.0006328,5.159e-06
case_0031,H2,0.008048,0.007699,0.008983
case_0031,H2O,0.424425,0.433088,0.444863
case_0031,H2O2,6.014e-05,3.303e-05,2.39e-10
case_0031,"HCHO,formaldehy",2.607e-06,1.381e-06,7.929e-09
case_0031,HCO,4.725e-05,2.543e-05,1.201e-08
case_0031,HCOOH,2.17e-05,1.221e-05,6.749e-08
case_0031,HO2,0.0002005,0.0001116,7.35e-11
case_0031,O,0.00394,0.002781,2.676e-08
case_0031,O2,0.017712,0.013459,1.311e-07
case_0031,O3,2.581e-07,9.135e-08,1.39e-18
case_0031,OH,0.041403,0.033207,3.686e-05
case_0032,CO,0.252847,0.243636,0.179105
case_0032,CO2,0.2531,0.267646,0.369127
case_0032,COOH,7.188e-05,4.051e-05,1.371e-08
case_0032,H,0.0007994,0.0006607,4.293e-06
case_0032,H2,0.008776,0.008443,0.010181
case_0032,H2O,0.426,0.434649,0.441558
case_0032,H2O2,5.05e-05,2.717e-05,1.3e-10
case_0032,"HCHO,formaldehy",2.601e-06,1.39e-06,8.842e-09
case_0032,HCO,4.641e-05,2.498e-05,1.079e-08
case_0032,HCOOH,1.991e-05,1.124e-05,6.657e-08
case_0032,HO2,0.0001657,8.962e-05,3.25e-11
case_0032,O,0.003625,0.002493,1.336e-08
case_0032,O2,0.015019,0.011062,5.76e-08
case_0032,O3,1.793e-07,6.02e-08,3.19e-19
case_0032,OH,0.039476,0.031215,2.485e-05
