case_id,campaign,geometry_id,pc_pa,t0_k,pa_pa,of_ratio,numerically_accepted,physics_accepted,provisional,profile_csv,separated,x_sep_m,exclusion_reason
hot_methalox_nominal_007,hot_methalox_nominal,DLR_PAR,5213282.176053898,3468.03,74812.72402995074,3.1153943657730707,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_008,hot_methalox_nominal,DLR_PAR,5318749.1073137745,3472.75,83235.50540739231,3.1253752915463053,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_009,hot_methalox_nominal,DLR_PAR,5162358.311919055,3477.49,81488.41665630323,3.1640152575563234,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_010,hot_methalox_nominal,DLR_PAR,5172078.925961495,3488.97,88592.8274942869,3.224592793549683,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_011,hot_methalox_nominal,DLR_PAR,5194504.844330271,3479.72,56827.99201965747,3.171311219345602,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_012,hot_methalox_nominal,DLR_PAR,5237780.922925103,3499.75,54760.353138171515,3.2843293219855627,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_013,hot_methalox_nominal,DLR_PAR,5122579.796924344,3471.39,52796.77171058794,3.1395760815511466,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_014,hot_methalox_nominal,DLR_PAR,5274422.283907087,3493.63,63647.81688239984,3.237822755027307,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_015,hot_methalox_nominal,DLR_PAR,5340387.270928796,3480.41,90767.05675657,3.158059826817315,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_016,hot_methalox_nominal,DLR_PAR,5200693.017884666,3475.44,72564.49514060661,3.1498524313027696,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_017,hot_methalox_nominal,DLR_PAR,5180027.831878534,3500.22,50657.12931562503,3.2983072021143585,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_018,hot_methalox_nominal,DLR_PAR,5337058.816907667,3501.69,67673.05606581268,3.2809933024891444,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_019,hot_methalox_nominal,DLR_PAR,5107918.621143173,3466.31,60251.844914197485,3.1185063214466253,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_020,hot_methalox_nominal,DLR_PAR,5126742.6651705345,3494.53,87081.36801391153,3.2669434708604044,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_021,hot_methalox_nominal,DLR_PAR,5372813.177346296,3497.74,65810.5036467884,3.2488774407227674,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_022,hot_methalox_nominal,DLR_PAR,5145685.861143141,3483.13,100836.18653871055,3.19513728394203,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_023,hot_methalox_nominal,DLR_PAR,5287547.431889577,3497.41,62171.42555959175,3.2598783454198816,false,false,false,,,,planned_CFD_not_run
hot_methalox_nominal_024,hot_methalox_nominal,DLR_PAR,5226161.996418418,3494.64,77756.305201882,3.251505691049284,false,false,false,,,,planned_CFD_not_run
